articulationpoint	averagebetweenness	averagecloseness	averagenodeconnectivity	averageeccentricity	averagepathlength	clusteringcoefficient	cohesiveness	compactness	globalefficiency	networkcentralization	networkdensity	networkdiameter	networkheterogeneity
ARAF	2	7310.81464703662	4.03687793686812e-05	27.123442808607	4.22838807097018	2.3803104912243	0.0316785279515812	0.999999652053009	28.3403684996256	0.439772640684802	0.773372020499424	0.0025600229172824	6	3.67085400087421
NCK1	1	7313.10824839557	4.03623412335489e-05	27.1017365043413	4.22885994714987	2.38048291616718	0.0316552949088386	0.999999651774332	28.3097657870766	0.439829083222375	0.773374069230359	0.00255797418634651	6	3.67351348906397
RALGDS	2	7309.25698376745	4.03731201401201e-05	27.1285390713477	4.2281993204983	2.38001639828719	0.0316775987149892	0.999999652118373	28.3724716070482	0.439808475661312	0.773465923636494	0.00256050392367604	6	3.67061525763778
RRAS	1	7312.97659494143	4.03627013276229e-05	27.1294828237071	4.22885994714987	2.38045806417017	0.0316821206033446	0.999999652130475	28.3487962755377	0.43983365693996	0.773371450417772	0.00256059299893413	6	3.67015126876474
CBL	1	7313.70800302002	4.0360812831005e-05	27.0983389958475	4.22895432238581	2.3805961308202	0.0316204019120503	0.999999651730672	28.2245478048479	0.439818522459794	0.773374389901289	0.00255765351541741	6	3.67352730298653
LYN	2	7311.29228010565	4.03676597060594e-05	27.1070215175538	4.22838807097018	2.38040067022186	0.0316678198472824	0.999999651842225	28.34927030472	0.43976137979061	0.773373570408914	0.00255847300779177	6	3.67273897414408
JUN	1	7313.13429596076	4.03622332233153e-05	27.0992827482069	4.22885994714987	2.38048783312142	0.0316228451513344	0.999999651742801	28.2580405279792	0.439828005411747	0.773374300826031	0.0025577425906755	6	3.67322806638907
RUNX2	1	7312.99839562098	4.03626348679087e-05	27.1245753114383	4.22885994714987	2.3804621794471	0.0316738143561067	0.999999652067537	28.3317834337191	0.439832816960277	0.773371913609114	0.0025601298075921	6	3.67066776239767
HHEX	1	7312.96328803323	4.03627397088215e-05	27.1317478293696	4.22885994714987	2.38045555224789	0.0316829747565034	0.999999652159516	28.3452005665749	0.439834129335745	0.773371236637152	0.00256080677955352	6	3.66989525341164
TBCB	1	7313.00283125706	4.036262143604e-05	27.1268403171008	4.22885994714987	2.38046301675452	0.0316767444563271	0.999999652096588	28.3356939496688	0.439832745700073	0.773371699828495	0.0025603435882115	6	3.67042843733652
RNPEP	1	7312.9662136655	4.0362730968738e-05	27.1319365798414	4.22885994714987	2.38045610451449	0.0316842507253048	0.999999652161935	28.3452959495615	0.439834034322137	0.773371218822101	0.00256082459460514	6	3.66979529683567
FHL2	1	7313.23688184215	4.03620356173956e-05	27.1147602869007	4.22885994714987	2.38050719808253	0.0316743189714196	0.999999651941592	28.3322601723735	0.439826761921139	0.773372839991798	0.00255920342490804	6	3.6718135683875
EIF4G1	1	7313.01953567383	4.03625702520022e-05	27.1175915439789	4.22885994714987	2.38046617001866	0.0316640404230582	0.999999651977931	28.3197485584559	0.43983196035321	0.773372572766024	0.00255947065068229	6	3.67126570290384
