Interactor_A	Interactor_B
CLIP1	CLASP2
RARG	RXRA
BAG1	RB1
RB1	RBBP9
E4F1	RB1
RB1	SMARCA4
RB1	RBBP8
RB1	TRIP11
RB1	TRAP1
RB1	NDC80
RB1	THOC1
RB1	MORF4L1
RB1	AATF
RB1	HBP1
RB1	RBAK
RBBP8	RBL2
RBL2	HBP1
RXRA	TBP
RXRA	NR1H2
RXRA	SRF
RXRA	NCOR2
PPARG	RXRA
PSMC5	RXRA
RXRA	VDR
NR4A2	RXRA
RXRA	NCOA1
RXRA	BRD8
ATN1	CHRD
RXRA	ZNHIT3
RXRA	TRIP4
RXRA	JMJD1C
RXRA	TRIP10
ATN1	CBFA2T2
RXRA	COPS2
RXRA	GADD45G
RXRA	NCOA6
RXRA	THRA
NFKBIB	RXRA
RXRA	THRB
NPAS2	RXRA
RXRA	ITGB3BP
RXRA	NRBF2
RXRA	RNF8
RXRA	MECR
RXRB	NR1H2
NR4A2	RXRB
RXRB	NCOA1
LMO2	KDM5A
LMO2	LDB1
ELF2	LMO2
RPS25	UPF2
SNIP1	ZCCHC7
TOPORS	SNIP1
SP100	SNIP1
LAPTM5	DCUN1D1
LAPTM5	HEY1
KRT7	LAPTM5
LAPTM5	ANKRD13A
LAPTM5	EPN3
UBA52	LAPTM5
LAPTM5	USP13
TNFAIP3	LAPTM5
LAPTM5	WWP1
RPS13	PDCD4
LAPTM5	RNF168
EPS15	LAPTM5
LAPTM5	EPN1
LAPTM5	HUWE1
PBX2	RPL4
LAPTM5	EPN2
EXOSC10	RPE
LAPTM5	NEDD4L
LAPTM5	TOM1L2
RPLP1	RPLP2
RPS15	UPF2
RIT1	RLF
AP2B1	ARRB1
DDX5	SMAD3
DDX5	AKAP8
DDX5	DDX17
SNRNP70	ZRANB2
ARRB1	RALGDS
ARRB1	NSF
ITGB2	CYTH1
TRIM23	CYTH1
CYTH1	ARFRP1
CYTH1	CYTIP
ARRB1	DVL2
CDKN2A	TBRG1
CDKN2A	GSPT1
CDKN2A	ANKRD12
CDKN2A	ZNF227
CDKN2A	PEX19
CDKN2A	ZFP91
CDKN2A	TPI1
CDKN2A	AHNAK
MET	SNAPIN
MET	PCBD2
SKIV2L	SNRPB
SNRPB	TOP3B
ARRB2	CLTC
MET	VAV1
MET	SNX2
DAPK3	MET
MET	SMC1A
ATP1A1	CFL1
MET	DNAJA3
ATP1A1	TPT1
YWHAQ	EPB41L3
CLNS1A	EPB41L3
EPB41	MACROD1
EPB41	YWHAB
EPB41	YWHAQ
EPB41	SEC14L1
EPB41	GDI1
SON	TRIP6
AP1B1	ARRB2
SOS1	ABI3
APP	EPB41
ARRB2	RALGDS
EPB41	C2CD2L
CRYAB	EPB41
EPB41L1	YWHAQ
NF2	SPTBN1
EPB41L1	YWHAZ
EPB41L1	YWHAB
SPTAN1	ABI1
ACP1	SPTAN1
SDCBP	SOX4
CLU	TGFBR2
VAMP1	SNAP23
STX4	VAMP2
VAMP2	RABAC1
SDC1	CASK
