Interactor_A	Interactor_B
RB1	SUV39H1
RB1	CBX5
SBF1	SUV39H1
SUV39H1	CBX1
SUV39H1	HDAC3
RBBP4	SUV39H1
RBBP7	SUV39H1
HDAC5	CBX5
HDAC1	CBX5
SUV39H1	HDAC4
SUV39H1	HDAC5
RB1	RING1
E2F1	RING1
RB1	CBX4
RING1	CBX2
RYBP	CBX2
YY1	RYBP
ESR1	KDM5A
RARA	KDM5A
NR3C1	KDM5A
KDM5A	VDR
RB1	VDR
RB1	KDM5A
KDM5A	TBP
KDM5A	RBL1
SMARCB1	PPP1R15A
KMT2A	SMARCB1
PRMT1	KHDRBS3
PRMT1	BTG2
HNRNPA1	PRMT1
PRMT1	NCOA3
PRMT1	NCOA2
PRMT1	NCOA1
ESR1	PRMT1
PRMT1	THRB
PRMT1	ZBTB14
PRMT1	CAPRIN1
PRMT1	TAF15
PABPN1	CARM1
HNRNPU	PRMT1
CIRBP	PRMT1
XRCC6	KAT2A
CREBBP	XRCC6
KAT2A	XRCC5
KAT2A	PRKDC
EZH2	HDAC2
EP300	STAT3
SMAD1	STAT3
CREBBP	FOS
NR4A1	NCOA3
NR4A1	NCOA1
NR4A1	KAT2B
EP300	LEF1
EP300	MDM2
EP300	PCNA
EP300	XPA
EP300	PTMA
CEBPB	EP300
CDK8	POLR2A
CREBBP	POLR2A
CREBBP	SMARCB1
CCNC	CREBBP
CDK8	CREBBP
CDK8	KAT2B
CDK8	SMARCB1
CREBBP	MED21
KAT2B	MED21
SMARCB1	MED21
POLR2A	KAT2B
SMARCB1	KAT2B
CDK8	SMARCC2
CDK8	SMARCC1
CDK8	SMARCA2
EP300	POLR2A
CHAF1A	TCERG1
GSK3B	PRKAR2A
PPP1CA	AKAP11
PPP1CB	AKAP11
PPP1CC	AKAP11
PPP1CB	PPP1R15A
PPP1CC	PPP1R15A
PPP1CA	SMARCB1
PPP1CB	SMARCB1
PPP1CC	SMARCB1
ETF1	PABPC1
PABPC1	CNOT7
PPP1R2	PPP1R9B
PPP1CB	PPP1R9B
AKT1	HSP90AA1
MED20	MED18
MED27	MED30
MED6	MED30
MED30	MED8
MED21	MED30
MED4	MED30
MED22	MED30
MED22	MED7
MED22	THOC7
MED18	THOC7
THOC7	MED8
PIGK	PIGT
CANX	PIGK
RAP2A	GABARAPL2
RAP1A	GABARAPL2
RAP1A	ARHGEF1
HRAS	ARHGEF1
FUS	PTBP2
FUS	SRRM1
LRP5	MESDC2
LRP6	MESDC2
RELA	HEXIM1
HUS1	RAD17
RAD1	RAD17
RAB3A	RPH3AL
RPH3AL	RAB3D
RAB8A	RPH3AL
DIAPH2	RHOD
CALM2	MARCKS
SLC9A1	CHP1
DLG3	PTK2B
DLG4	PTK2B
CHM	RAB7A
CCND3	RB1
PDK1	PDK2
PRKAR1A	ARFGEF1
POLR2M	WDR89
ANKHD1	POLR2M
MYO9A	POLR2M
UQCRQ	POLR2M
SCMH1	POLR2M
ZNF410	POLR2M
EIF6	SEPT3
GPR108	LRSAM1
ARPC4	NELFCD
TUBB3	SPTSSA
KLHL20	LRIF1
ATF3	LRIF1
CRADD	LRIF1
FXYD6	RBM48
APOD	POLR2M
DGKZ	POLR2M
KIAA1377	POLR2M
POLR2M	RBM4B
PSMC2	POLR2M
RPL7A	POLR2M
CCDC106	LRIF1
EIF6	LRIF1
RIT1	LRIF1
SPG7	LRIF1
FAS	LRIF1
BMI1	LRIF1
TRDMT1	LRIF1
HLA-DQA1	LRIF1
HMGB1	LRIF1
NME2	NME3
SNRPN	LRIF1
DDX39B	TUBB3
CDC42	LRIF1
LAMA4	LRIF1
PSMD2	LRIF1
DLST	TUBB4B
RPA2	LRIF1
TSC1	YWHAZ
NR3C1	HSPD1
NR3C1	RAN
NR3C1	ARPC5
THRB	TSG101
GRB2	BCAR1
DCN	COL14A1
AKT1	IRAK1
TIA1	FASTK
CRYAB	CS
SRP9	SRP14
RIPK2	CFLAR
PLCG1	SRC
E2F1	TP53BP1
TFDP1	TP53BP1
CD9	KIT
CD63	KIT
CD81	KIT
PTPRS	PPFIA1
PTPN11	STAT3
EIF2AK2	STAT1
PIK3R1	WAS
SRC	WAS
CFL1	CAP1
COL1A1	ITGA2
COL1A1	ITGB1
LRP5	AXIN1
CCND1	CDKN2A
EPRS	POU2F1
CSNK1E	PER1
ITPR1	MRVI1
GEM	GMIP
CREM	SPI1
ATF1	SPI1
RHOA	NET1
CALM1	IQGAP1
ADRBK1	PDCL
AHR	NEDD8
F2R	SNX1
LRP1	THBS1
TAF1	TAF6
GTF2E1	TAF6
FOSL2	JUN
GDI1	RAB1B
RASA1	MAP4K4
GEMIN2	GEMIN5
SNRPD2	GEMIN5
SNRPF	GEMIN5
SNRPG	GEMIN5
APP	FBLN1
SLC3A2	SLC7A5
PLAGL1	TP53
VAV1	BLNK
EPS15	AGFG2
IL1RAP	IRAK1
IL1RAP	STAT3
CASP3	TRAF3
CDKN1A	CSNK2B
STX1A	VAMP2
KDELR1	ARFGAP1
GNPAT	AGPS
POLR2A	TCERG1
PTPN11	IRS2
GPS1	COPS8
COPS2	COPS8
COPS3	COPS8
COPS8	COPS4
COPS8	COPS7A
COPS8	COPS7B
FYN	JAK2
CDK4	PCNA
APP	APBA3
APBA1	PSEN2
PSEN2	APBA3
CSNK2A1	HCLS1
CASP3	HCLS1
ERG	JUN
THRB	TP53
SPINT1	ST14
ACTR3	WASF3
ACTR3	WASF2
CSNK1A1	KPNA2
CSNK1A1	PPP2CA
PLD2	PRKCA
BIN1	PLD1
BIN1	PLD2
MYH10	BCAP31
ACTG1	BCAP31
PIK3R3	IRS2
IRS1	PIK3R3
CLTC	EPN1
SF3B2	SF3B3
ACVR2A	INHBA
IL2RB	SHC1
GRB2	IL2RB
IL2RB	STAT1
IL2RB	STAT3
NUTF2	NUP62
KPNA1	NUP62
NUTF2	NUP54
KPNA1	NUP54
CDKN2A	E4F1
E4F1	TP53
CSNK2A1	MAZ
CAV1	NOS3
RAB11FIP3	RAB11FIP4
RAB11FIP2	RAB11FIP4
RAB11FIP5	RAB11FIP4
PML	RB1
ARNT	AIP
ARF1	COPB1
ARF1	COPG1
ARRB1	CCR5
IKBKB	BTRC
NFKB1	BTRC
CSTF2	SYMPK
CSTF2	CSTF3
CSTF1	CSTF2
CSTF2	CPSF1
ARHGAP5	PXN
PXN	RASA1
ILK	ITGA5
ILK	ITGB1
CSF1	CSF1R
ABL1	TP53
COPA	COPB2
COPB2	COPE
JUN	SKI
FAP	PLAUR
PRLR	SOCS3
NCOA1	NCOR1
NR3C1	NCOR1
AP1G1	ARF1
ARF1	AP3S2
ARF5	AP3B1
ARF6	AP3B1
ARF6	AP3S2
HNRNPF	NCBP1
HNRNPF	NCBP2
HNRNPH1	NCBP1
HNRNPH1	NCBP2
PDCD2	NCOR1
ARCN1	COPB1
COPA	COPB1
COPB1	COPB2
COPB2	COPG1
COPE	COPG1
MAX	MYCL
JUN	COPS5
JUND	COPS5
LAMA3	SDC2
JAK2	STAT5A
JAK2	STAT5B
YAP1	DENND3
TBP	CBX5
GTF2B	JUN
JUN	TBP
ANXA2	CTSB
FCGR2A	PIK3R1
POLA1	CDC45
CRKL	NEDD9
CRKL	FCGR1A
PLCG1	VAV1
STX5	STX17
SRF	SSRP1
MBP	STK39
IL2RG	SHB
JAK1	SHB
JAK3	SHB
VAMP8	NAPA
C3	CFI
CALM1	TCF4
CALM1	TCF3
VAV1	XRCC5
TYK2	XRCC5
TYK2	VAV1
PTK2B	PTPN6
PTPN6	SYK
GRB2	SYK
PTK2B	SYK
MYD88	RAC1
IL1RAP	RAC1
LYN	PDE4A
CLK1	PRPF4
SRSF1	PRPF4
KPNB1	SREBF2
SERPING1	C1S
JUN	TGIF1
ABL1	SHC1
ABL1	INPPL1
DLG4	FYN
HSPA1A	IKBKG
ESR1	NR2C2
CDC6	PSKH1
CCNA2	CDC6
BCL2	CAPN2
BID	CAPN2
MAP3K5	PDCD6
NR4A2	RARA
COL7A1	FN1
IL4R	SHC1
SRC	KIFAP3
TNFRSF10A	BCL10
TNFRSF1A	BCL10
TRADD	BCL10
A2M	ADAMTS1
DARS	EEF1A1
RAF1	MRAS
PPP1CA	EIF2AK2
CD8A	HLA-A
CD44	COL14A1
RIPK1	CRADD
DNAJC3	EIF2AK3
NR3C1	TXN
MAPK1	ADAM17
CALCRL	RAMP3
KRAS	PIK3CA
LRPAP1	RAF1
LRPAP1	RALGDS
RAF1	SHOC2
KRT5	KRT18
ETS1	SPI1
ETS2	SPI1
ETV1	SPI1
FOS	SPI1
JUN	SPI1
PPM1B	PPP2CA
CDK2	PPP2CA
CDK6	PPP2CA
CDK2	PPM1B
CDK6	PPM1B
YBX1	CTCF
TSC22D3	RAF1
ARPC3	ARPC2
E2F2	BRD2
EEF1A1	ZPR1
PLCG2	SHC1
MAP2K3	MAPK8IP2
TIAM1	MAPK8IP2
TIAM1	MAPK8IP1
AP2A1	EHD1
CLTC	EHD1
IGF1R	EHD1
IGF1R	SNAP29
CEBPB	SPI1
RAF1	MST4
XPO1	NUP62
ITGB5	PTK2
FGF1	S100A13
CTBP1	IKZF4
JUN	RELA
PAFAH1B1	NUDC
TNPO1	SRP19
IPO5	SRP19
SRP19	IPO7
SRP19	IPO8
IPO5	RPL23A
RPL23A	IPO7
RPL23A	IPO8
TNPO1	RPL23A
RHOB	CIT
RAC1	CIT
CISH	IL2RB
USO1	GOSR1
USO1	GOSR2
USO1	BET1
USO1	YKT6
STX5	USO1
USO1	SEC22A
USO1	SCFD1
GOSR1	YKT6
GOSR1	BET1
GOSR1	BET1L
STX5	BET1L
YKT6	BET1L
STX5	YKT6
STX5	SEC22A
STX5	BET1
STX5	VTI1B
XPO1	NUP214
MLX	MXD4
MAPK3	PTPN7
PRLR	VAV1
ACVR1B	ACVR2B
RAN	NUP153
XPO1	NUP153
PTPRC	GANAB
PRKDC	RPA2
XRCC6	RPA2
PRKDC	RPA1
PRKCSH	PTPRC
IGF1R	IGFBP3
FBL	GEMIN2
FBL	DDX20
FBL	GEMIN4
GEMIN2	GAR1
DDX20	GAR1
GEMIN4	GAR1
PTK2B	JAK3
NPHP1	BCAR1
ELF1	HMGA1
ELF1	NFKB1
SLC9A3R1	PLCB1
GPAA1	PIGT
TRAF5	RIPK2
TRAF6	RIPK2
TNFRSF1A	RIPK2
CD40	RIPK2
CDC25B	MELK
ITGB4	SHC1
HSP90AA1	TP53
CRK	SH3KBP1
BCAR1	SH3KBP1
SOS1	SH3KBP1
POLR2A	POLR2H
POLR2A	POLR2L
POLR2A	POLR2C
POLR2A	POLR2E
POLR2A	POLR2G
POLR2B	POLR2C
POLR2B	POLR2E
POLR2B	POLR2L
POLR2C	POLR2E
POLR2C	POLR2F
POLR2C	POLR2G
POLR2C	POLR2H
POLR2C	POLR2K
POLR2C	POLR2L
POLR2A	POLR2F
POLR2B	POLR2H
POLR2E	POLR2G
POLR2E	POLR2H
POLR2E	POLR2L
POLR2E	POLR2F
POLR2F	POLR2G
POLR2G	POLR2H
POLR2A	POLR2K
POLR2B	POLR2K
POLR2E	POLR2K
POLR2F	POLR2K
POLR2G	POLR2K
POLR2H	POLR2K
POLR2G	POLR2L
POLR2H	POLR2L
POLR2J	POLR2K
GRB10	SRC
FYN	GRB10
DYNC1H1	NDEL1
CDK5	NDEL1
PTK2	MAPK8IP3
SRC	MAPK8IP3
CD180	LY86
THRA	ITGB3BP
JUND	MEN1
PAFAH1B1	TUBA1A
PPP2CB	RELA
MAPK8	SH3BP5
MAPK9	SH3BP5
SIAH2	TRAF2
TGFBR1	SMURF2
TGFBR2	SMURF2
SMAD7	TGFBR2
FOXO4	XPO1
A2M	LRP1
NF2	EZR
SRSF1	U2AF1
SRSF1	SRSF5
SRSF1	SNRNP70
CSTF2	DDX1
SKP1	FBXL4
TAF7	TAF15
TAF5	TAF15
TAF13	TAF15
TAF11	TAF15
POLR2C	TAF15
POLR2G	TAF15
POLR2E	TAF15
CDH3	CTNND1
HSPA1A	MSR1
POU2F1	NCOR2
JAK3	CXCR4
JAK2	CXCR4
PTPN6	CXCR4
IRAK1	PRKCZ
SMAD4	ZNF423
SMAD1	ZNF423
RAC1	TIAM1
ARRB1	DVL1
PRKCA	AKAP12
CD36	LDLR
CD36	VLDLR
LAMC1	NID1
COL4A1	NID1
COL1A1	NID1
LAMC1	NID2
COL4A1	NID2
COL1A1	NID2
CALM1	GRK5
IFNGR2	DNAJA3
HSPA8	DNAJA3
HSPA8	JAK2
CDK1	LYN
ATF3	JUND
AHR	NCOA2
AHR	SRC
BTK	CAV1
ARNT	SRC
ARNT	NCOA2
KCNQ1	PRKAR2A
KCNQ1	PPP1CA
KCNQ1	PRKACA
PEX10	PEX5
PAFAH1B1	DCTN2
DYNC1H1	PAFAH1B1
DCTN1	PAFAH1B1
JUN	VAV1
RAB9A	PLIN3
ESR1	POU2F1
POU2F1	RXRA
POU2F1	RARA
POU2F1	THRA
NR3C1	POU2F1
EIF2S1	EIF2B1
SRC	TRAF1
SRC	TRAF3
SRC	TRAF6
MAPK3	MAP2K2
SP1	YY1
SREBF1	YY1
SP1	SREBF1
KPNB1	RANBP2
KPNB1	RANBP1
KPNA1	RANBP2
ACTN4	SLC9A3R2
CD9	ITGA3
CDK9	RELA
RXRA	NCOA3
DLG1	EPB41
GOLGA1	RAB6A
CALR	PLAT
BRAF	RAP1GAP
ERBB3	RNF41
ERBB4	RNF41
HLA-F	LILRB1
RB1	TMPO
LMNA	TMPO
ACP1	EPHB2
DDIT3	PICALM
PML	RELA
CASP3	CFLAR
TRAF1	CFLAR
TRAF2	CFLAR
TOP1	TP53
PLXNA1	RHOD
PIK3R1	RRAS2
GTF2B	NCOA1
TBP	NCOA1
IL10RA	JAK1
CD8A	HLA-B
CD8A	HLA-C
PTK2B	JAK1
CALR	CANX
CD9	CD46
CD151	CD46
CD81	CD46
CD82	CD46
ITGB1	CD46
ITGA2	CD46
BCL2L2	PPP1CA
DMD	SNTA1
SNTA1	UTRN
RFC1	BRD4
RFC2	BRD4
RFC3	BRD4
RFC4	BRD4
RFC5	BRD4
PCNA	RFC1
LIMK1	PAK4
CCNA2	HERC5
CCNB1	HERC5
CCND1	HERC5
CDKN1A	HERC5
GIT2	PCLO
ARF6	ARRB1
ARF6	ARRB2
ARRB1	CYTH2
ARRB2	CYTH2
RHOA	HSPA1A
DFFB	CIDEB
DFFA	CIDEB
CREB1	FHL2
CREB1	FHL3
CALM1	PCNT
PARP1	CENPB
PARP1	BUB3
BCR	SOS1
ABL1	SOS1
PLAT	PLAU
MAP3K5	TRAF1
MAP3K5	TRAF3
MAP3K5	TRAF5
MAP3K5	TRAF6
MAPK8	DUSP22
MAPK1	DUSP22
WASF1	ARHGEF2
HRAS	TIAM1
AES	RUNX1
SRSF2	DEK
DEK	SRRM1
CDC42	MAP3K10
CDC42	RAC1
MAP3K10	RAC1
PLD2	PEA15
MAP3K11	KIFAP3
MAP3K11	KIF3B
COL1A1	SPARC
COL3A1	SPARC
COL5A1	SPARC
ICAM1	ITGB2
IKZF4	IKZF5
IKZF1	IKZF5
MAP3K5	QARS
GRB2	TNFRSF1A
LYN	UNC119
HCK	UNC119
ENG	TGFBR2
ENG	TGFBR1
SEPT7	CDC42EP2
CDC42EP2	SEPT6
SEPT7	CDC42EP3
CDC42EP3	SEPT6
CHUK	MAP3K8
MAP3K8	MAP3K14
BTK	JAK1
GSK3B	NFKB1
CAV1	GRK5
ADRBK1	CAV1
ERBB2	PAK1
CDC27	SMAD3
SMAD3	CDC16
CDC27	SMAD2
SMAD2	CDC16
SKIL	FZR1
SNTA1	DGKZ
SNTB1	DGKZ
SNTB2	DGKZ
SNRNP70	DDX17
JAK2	PTPN12
RPL5	IPO13
IPO13	NUP50
GTF2A1	GTF2F1
GTF2A1	GTF2E1
GTF2A1	GTF2E2
NOTCH1	RELA
SLA	SYK
CBL	SLA
PPIA	PPP3R1
PPIA	PPP3CA
EIF5A	XPO1
ARNTL	CSNK1E
MYC	TIAM1
ARF6	CYTH2
JAK2	PTK2
EIF4E	EIF4G2
EIF4G2	EIF3A
KIF5B	KLC1
FYN	SH3BP2
GRB2	SH3BP2
CBL	SH3BP2
DDIT3	JUND
DDIT3	FOS
DDIT3	JUN
FLNB	ITGB6
FLNA	ITGB6
RARG	SRF
JUN	TCF20
IGF2	IGFBP7
LCP2	PTPN6
PAK1	ABI3
PAK2	ABI3
CSNK1D	PER1
NFKBIB	BTRC
ABL1	PRKDC
RXRA	NRIP1
LYN	GAB2
CALM1	CAMK2G
ATP2B4	DLG1
ATP2B4	CASK
PGF	NRP1
MAF	USF2
PTK2	SHC1
GNB1	GNG10
GNB2	GNG10
GNB1	GNG11
SMAD4	TOB1
SMAD5	TOB1
SMAD1	TOB1
CTNNB1	FHL2
CASK	C16orf70
PSMC5	SP1
MAPK1	RAF1
INSR	MAPK1
MAPK3	RAF1
INSR	MAPK3
EIF5	EIF3G
PRKCE	MAPK1
PRKCE	RAF1
IGFBP7	CHMP3
LGALS3	GEMIN4
LGALS1	LGALS3
LGALS1	SNRPB
LGALS1	GEMIN2
UBE2K	RNF2
PTK2B	PXN
CAV1	TRADD
CAV1	TNFRSF1B
EPHA2	SHC1
EPHA2	GRB2
HSPA4	DNAJB11
FES	STAT3
PPARA	DAP3
HSP90AA1	DAP3
HIF1A	DAP3
AHR	DAP3
THRA	DAP3
FN1	TGFBI
CLIC1	AKAP9
PTK2	EZR
RAD51	RAD54B
DLG4	DYNLL2
DLG4	DYNLL1
SHANK2	DYNLL2
DYNLL1	SHANK2
MYO5A	SHANK2
CDC42	CDC42SE2
ARF5	ARFIP1
ITGAL	ITGB2
HSPG2	PRELP
PRELP	NID2
FBLN2	PRELP
COL1A1	PRELP
MAPK8	IKBKAP
PRKAR2A	AKAP8
SGK1	SLC9A3R2
PDPK1	SLC9A3R2
ERBB2	ERBB2IP
PICK1	ERBB2IP
KLF6	KLF4
KHSRP	PTBP2
HNRNPA1	KHSRP
HNRNPH1	KHSRP
AXL	PIK3R2
TEAD1	NCOA1
DOK1	LYN
CRKL	DOK1
DOK1	FGR
DOK1	HCK
DOK1	PLCG1
DOK1	PIK3R1
DOK1	SRC
DOK1	YES1
CRKL	KIT
INPP5D	KIT
IKZF1	IKZF2
KIF5C	KLC1
KIF5B	KLC2
KIF5C	KLC2
KIF5B	KIF5C
CCND1	CDKN1C
GHR	JAK2
PTPN11	STAT5A
PTPN11	STAT5B
TBP	UBTF
BRF1	TP53
NCOA6	ZNF335
IDE	ZHX2
FYN	CBLC
NUMA1	TNKS
DOCK2	RAC2
CLINT1	GGA2
KPNB1	NUP50
KPNA2	NUP50
RAN	NEK9
TSC1	EZR
PDIA3	GYPC
PDIA3	SLC2A1
MAP2	SRC
ESR1	MAPK1
CD2	PTPRC
RELA	ETHE1
HTT	MAP3K10
PLCG1	SHC1
CSF1	PIK3R2
FYN	PIK3R2
ATOX1	ATP7A
JAK2	VAV1
FUS	SPI1
BCL2	RAF1
PEBP1	MAP2K1
PEBP1	MAPK1
JUN	SMAD3
MYC	RB1
GM2A	HEXA
RBL2	AATF
RBL1	AATF
EIF5	EIF2S2
NQO1	HSPA4
CLTC	GGA1
CLTC	GGA2
CLTC	GGA3
ITGB1	MAP4K4
DDX1	HNRNPK
LRPAP1	RALA
JAK2	SIRPA
DLG1	CRIPT
IRS1	JAK1
IRS1	JAK2
IGF1R	JAK1
RB1	TGM2
KRT8	PLAT
STAT3	NCOA1
MMP2	TIMP3
GRB2	MST1R
BTK	KHDRBS1
BTK	VAV1
BTK	EWSR1
PPP1R8	PRKACA
EPS15	NAGPA
AP2A1	NAGPA
TRAF2	SPHK1
DCN	FLNA
NUMA1	ACTR1A
LRP1	PDGFB
LRP1	SRC
POLA1	RB1
CTNNA1	VEZT
CTNNB1	VEZT
CDH1	VEZT
PCNA	RFC2
PCNA	RFC4
PCNA	RFC5
PRKCZ	TRAF6
IRAK1	SQSTM1
HNRNPK	PTBP1
CBL	PTPN6
HIF1A	NCOA1
APEX1	HIF1A
CRKL	TYK2
NCKIPSD	DIAPH3
FOXO1	YWHAG
PIK3R1	KHDRBS1
IRS1	KHDRBS1
INSR	KHDRBS1
TAF1C	TAF1A
ESR1	TP53
HSF1	HSPA1A
HSF1	DNAJB1
PIGA	PIGP
PIGQ	PIGP
DPM2	PIGP
CDC42	CSPG4
IGF2	IGFBP3
HOXB7	PBX1
NCL	SSB
FN1	CXCL12
CDK7	ESR1
ESR1	GTF2H1
MYBL1	NCL
MYB	NCL
ALYREF	LEF1
RUNX2	ALYREF
PRKDC	C1D
ABL1	RFX1
RAC1	ARHGEF2
MAP3K11	MAPK8IP1
MAP3K11	MAPK8IP2
MAP3K12	MAPK8IP1
MAP3K12	MAPK8IP2
MAP3K10	MAPK8IP1
MAP3K10	MAPK8IP2
RAC1	TRIO
MAP2K7	MAPK8IP2
MAPK9	MAPK8IP1
MAPK9	MAPK8IP2
MAPK8IP1	MAPK8IP2
DAB2	LDLR
APP	DAB2
APLP2	DAB2
DAB2	INPP5D
DAB2	LRP1
HLA-DMA	HLA-DRB1
VAMP1	VAPA
VAMP2	VAPA
CTBP2	CBX4
RET	SRC
EIF2S1	PPP1R15A
PER3	PER2
PER1	PER3
PVR	DYNLT1
PKP4	PDZD2
AHR	SP1
ARNT	SP1
ING1	SAP30
ING1	SIN3A
ING1	ARID1A
ING1	SMARCA4
ING1	SMARCC2
ING1	SMARCC1
HDAC2	ING1
ING1	RBBP7
ING1	RBBP4
ING1	SMARCB1
ING1	SMARCD1
ACTL6A	ING1
IL2RB	JAK1
IL2RG	JAK3
CTNNA1	TJP2
FN1	PKD1
COL1A1	PKD1
GNAI1	RGS19
HSPA8	DNAJB1
DNAJA1	HSPA8
HSPA8	TCP1
C1QBP	SRSF9
C1QBP	SRSF1
ABL1	RAD9A
PIN1	WEE1
PIN1	PLK1
CDC27	PIN1
PIN1	PKMYT1
PXN	TGFB1I1
NAPA	STX12
SNAP23	STX12
EIF2AK2	TP53
VDAC1	TOMM20
BCL2	TOMM20
KPNB1	SMAD3
KPNB1	SMAD4
TCF4	HBP1
WWP1	WBP1
WWP2	WBP1
MAGI1	WBP1
WWP1	WBP2
WWP2	WBP2
MAGI1	WBP2
C1QBP	GAB1
COL1A1	VWF
ANXA2	PLAT
SMAD3	RBL1
SMAD4	RBL1
E2F4	SMAD3
ARHGAP35	RASA1
DHFR	THBS1
TAF1	TAF4
GTF2A2	TAF4
TAF4	TAF8
IFNAR2	STAT1
ATF2	RB1
RCAN1	PPP3CA
HCLS1	ACTR3
STIP1	HSPA14
MID2	TRIM32
TRIM23	TRIM32
TRIM23	TRIM6
TRIM28	TRIM6
TRIM23	TRIM28
MAX	SPAG9
MXD1	MAX
MAPK8	SPAG9
MAPK14	SPAG9
MAP2K4	SPAG9
MAP3K3	SPAG9
FH	MDH2
LTBR	DIABLO
PTK2B	LYN
LYN	SYK
CCR5	PTK2
PDGFRB	VAV1
PDGFRB	VAV2
PDGFRB	VAV3
RAB4A	RABEP1
RAB4A	RAB5A
CBLB	SHC1
CBLB	PIK3R1
DHX9	JUN
JUN	HNRNPM
ADAM17	TIMP3
RB1	SNW1
RBL1	SNW1
RBL2	SNW1
MCM5	STAT1
CLPP	CLPX
RAD9A	DNAJC7
HUS1	DNAJC7
RAD1	DNAJC7
RASA1	YES1
PLCG1	SHB
GOLGA2	USO1
GOLGB1	USO1
XRCC6	POU2F1
POU2F1	XRCC5
CD36	FYN
CD36	LYN
CD36	YES1
IKBKB	PRDX3
ACTN1	ITGB1
STAM	USP8
GRB2	USP8
CSNK2A1	MME
LYN	MME
SYNJ2	SYNJ2BP
AHR	RELA
GRB10	IRS1
ESR1	MVP
RELA	SRF
MAPK8	BCAR1
RAC1	IQGAP2
DR1	NFIL3
EPHB2	RASA1
GJA1	GJA5
PDK1	RALGDS
CSF3R	SHC1
CSF3R	GRB2
CSF3R	PTPN11
SRSF1	SRSF2
SRSF2	SRSF11
SRSF1	SRSF11
SRSF11	U2AF2
SRSF2	U2AF1
SRC	STAT1
HSP90AA1	PIM1
E2F2	RNF144A
E2F2	FHL2
E2F1	RNF144A
E2F1	FHL2
E2F3	FHL2
E2F3	RNF144A
E2F4	RNF144A
E2F4	FHL2
E2F4	RYBP
ITGAM	PLAUR
CSNK1D	GJA1
CD44	IGFBP3
PCM1	PCNT
B2M	HLA-E
INPP5D	PRKCD
INSR	PTPN6
XIAP	TAB1
HBEGF	MMP7
CD44	MMP7
CD44	ERBB4
CD9	ITGA5
NCF2	PRDX6
GSK3B	PTK2
RANBP1	XPO1
CASP6	TRAF1
CASP10	TRAF1
BAX	YWHAQ
RB1	ARID3B
JUN	PIN1
JUP	PKP2
SRC	TYRO3
IL1R1	PIK3R1
LYN	NEDD9
LYN	BCAR1
PTK2B	BCAR1
PTK2B	NEDD9
HCK	BCAR1
PTK2B	JAK2
GRB2	HTT
HTT	RASA1
IL6ST	JAK1
DAPK3	PRKCZ
CD44	TIAM1
CLIP2	CLASP1
STAT1	VDR
TAF4	TAF5
TAF4	SUPT3H
TAF4	SAP130
SUPT3H	SAP130
TAF5	SUPT3H
TAF10	SUPT3H
AKT1	KTN1
RHOG	KTN1
CDC42	GOPC
NRAS	RAF1
GNAI3	RGS10
GNAZ	RGS10
GATA3	LMO2
CYBA	NCF2
PPARA	RELA
STOM	SLC2A1
TLR2	LY96
LYN	PLCG2
EP300	SUB1
MSH2	ATRIP
ATR	ATRIP
MCM7	ATRIP
RPA1	ATRIP
TCF3	LDB1
CBFA2T3	TCF3
CBFA2T3	LDB1
BCAR1	SH2D3C
NEDD9	SH2D3C
BMF	DYNLL2
BCL2L11	DYNLL2
DYNLL1	BMF
HNRNPA2B1	HNRNPL
FYN	PLCG2
CLTC	KIT
A2M	B2M
EVPL	PPL
MEF2C	SOX18
RAB5A	STX4
IGFBP5	THBS1
IGFBP5	SPP1
EIF2B2	EIF2B5
EIF2B3	EIF2B5
EIF2B4	EIF2B5
GTF2H1	TCEA1
TCEA1	CTDP1
JAK1	PTPN11
JAK2	PTPN11
ACTR3	ACTR2
ARPC1B	ACTR3
ACTR3	ARPC2
ARPC3	ACTR3
ARPC4	ACTR3
IGFBP7	VEGFA
TJP1	TJP3
NFKB1	ITGB3BP
RELA	ITGB3BP
EIF2AK2	METAP2
CDK4	CNOT7
CDK2	CNOT7
CDK1	CNOT7
CCNG2	PPP2R5B
CCNG2	PPP2R5C
CCNG2	PPP2CA
MYC	TFAP2A
APEX1	TP53
ELK3	TCF3
CREM	TBP
CREM	TAF4
RAD50	RINT1
RHOA	PLCG1
TCEB2	ASB8
ITPR1	AHCYL1
CA2	SLC9A1
CASP1	BCAP31
JAK2	PPP2R4
JAK2	YES1
HSPA8	PPP1CA
HSPA8	PPP1R12B
MAX	ZBTB17
JAG1	NOTCH2
RHOA	ARHGEF3
RHOB	ARHGEF3
ADRBK1	EDNRB
PIP5K1C	TLN2
ANXA1	S100A11
VCAN	FBLN2
ACTR1A	BICD2
DCTN2	BICD2
DYNC1H1	BICD2
RHOA	AKAP13
MAP3K4	RAC1
SPARC	VEGFA
KRT18	TNFRSF1B
CTNNB1	TGFBR2
CTNNB1	SMAD2
CTNNB1	SMAD3
CTNNB1	SMAD4
SLA	VAV1
POLR2A	CCNK
CDKN1B	XPO1
GRB2	SNTA1
CRKL	SYK
CRKL	WAS
STX7	NAPA
CTNNB1	USP9X
MLLT4	USP9X
JAK1	TYK2
ETS2	NR3C1
GJA1	PRKCA
NCK1	PKN2
PLCG1	PKN2
RHOA	PKN2
SMAD2	MEF2A
SMAD2	MEF2C
LCP2	SHB
SHB	VAV1
CASP7	HSPA5
CDC42	GDI1
CTSL	RXRA
MYC	NFYC
CD44	TGFBR1
